"title","creator","type","description","release_date","language"
"Señorita","Isabel Sandoval","Movie","This movie from Philippines continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2011-07-10","Filipino"
"Seven Samurai","Akira Kurosawa","Movie","Seven Samurai remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","1954-04-26","Japanese"
"Shame","Salman Rushdie","Book","Shame is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1983-09-08","English"
"Shang-Chi and the Legend of the Ten Rings","Destin Daniel Cretton","Movie","A Marvel blockbuster that foregrounds family trauma and martial-arts cinema heritage with a largely Asian cast.","2021-09-03","English / Mandarin"
"Shaolin Soccer","Stephen Chow","Movie","Shaolin Soccer is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2001-07-12","Cantonese"
"Shirkers","Sandi Tan","Documentary","This documentary from Singapore continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2018-01-21","English"
"Shoplifters","Hirokazu Kore-eda","Movie","Shoplifters offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2018-06-08","Japanese"
"Shortcomings","Randall Park","Movie","Classrooms and film clubs often return to Shortcomings when discussing United States storytelling traditions diaspora voices and the politics of representation.","2023-08-04","English"
"Shoso Strip","Ringo Sheena","Music","Shoso Strip remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2000-03-30","Japanese"
"Signal","Kim Won-seok","TV Show","Signal offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2016-01-22","Korean"
"Sling","Clairo","Music","This music from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2021-07-16","English"
"Slumdog Millionaire","Danny Boyle","Movie","Scholars and community educators cite Slumdog Millionaire when mapping how United Kingdom creators experiment with form while staying rooted in lived experience.","2008-11-12","English / Hindi"
"Snow Country","Yasunari Kawabata","Book","Scholars and community educators cite Snow Country when mapping how Japan creators experiment with form while staying rooted in lived experience.","1937-10-05","Japanese"
"Snowpiercer","Bong Joon-ho","Movie","Snowpiercer remains a touchstone in South Korea cultural studies for how it stages identity history and community with clarity and emotional precision.","2013-08-01","English / Korean"
"Soft Sounds from Another Planet","Japanese Breakfast","Music","Soft Sounds from Another Planet is a widely taught music from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2017-07-14","English"
"Solanin","Inio Asano","Manga","Classrooms and film clubs often return to Solanin when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2005-12-25","Japanese"
"Solo Leveling","Chugong","Web novel","Solo Leveling helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2016-07-25","Korean"
"Sonatine","Takeshi Kitano","Movie","Sonatine is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1993-09-10","Japanese"
"Sour","Olivia Rodrigo","Music","Breakout album from a Filipino American artist whose songwriting reshaped pop radio and youth culture in the early 2020s.","2021-05-21","English"
"Southern Fried Asian","Keith Chow","Podcast","Southern Fried Asian is a widely taught podcast from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2018-01-01","English"
"Southern Fried Rice","Various","Podcast","Southern Fried Rice is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2019-01-01","English"
"Space Sweepers","Jo Sung-hee","Movie","This movie from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2021-02-05","Korean"
"Spirited Away","Hayao Miyazaki","Movie","Scholars and community educators cite Spirited Away when mapping how Japan creators experiment with form while staying rooted in lived experience.","2001-07-20","Japanese"
"Spring Summer Fall Winter and Spring","Kim Ki-duk","Movie","Classrooms and film clubs often return to Spring Summer Fall Winter and Spring when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2003-09-19","Korean"
"Spy x Family","Kazuhiro Furuhashi","Anime","This anime from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2022-04-09","Japanese"
"Squid Game","Hwang Dong-hyuk","TV Show","Squid Game offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2021-09-17","Korean"
"Steins;Gate","Hiroshi Hamasaki","Anime","Steins;Gate is a widely taught anime from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2011-04-06","Japanese"
"Sticker","NCT 127","Music","Sticker is a widely taught music from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2021-09-17","Korean"
"Still Fantasy","Jay Chou","Music","Still Fantasy helps audiences practice close attention to nuance in Taiwan narratives where humor grief and resilience often share the same scene.","2006-09-05","Mandarin"
"Still Life","Jia Zhangke","Movie","This movie from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2006-09-06","Mandarin"
"Still Walking","Hirokazu Kore-eda","Movie","Still Walking remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2008-09-28","Japanese"
"Story of Yanxi Palace","Hui Kai Dong","TV Show","This tv show from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2018-07-19","Mandarin"
"Strange Weather in Tokyo","Hiromi Kawakami","Book","This book from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2001-03-28","Japanese"
"Stranger","Ahn Gil-ho","TV Show","Stranger offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2017-06-10","Korean"
"Stranger in the Alps","Phoebe Bridgers","Music","Stranger in the Alps remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2017-09-22","English"
"Stray Sheep","Kenshi Yonezu","Music","Stray Sheep remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2020-08-05","Japanese"
"Street Fighter II","Capcom","Video game","Street Fighter II remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","1991-02-06","Japanese"
"Such a Long Journey","Rohinton Mistry","Book","Such a Long Journey is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1991-03-01","English"
"Summer Wars","Mamoru Hosoda","Movie","This movie from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2009-08-01","Japanese"
"Super Deluxe","Thiagarajan Kumararaja","Movie","This movie from India continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2019-03-29","Tamil"
"Superache","Conan Gray","Music","Superache is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2022-06-24","English"
"Superman Smashes the Klan","Gene Luen Yang","Graphic novel","Superman Smashes the Klan is a widely taught graphic novel from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2019-10-08","English"
"Suzume","Makoto Shinkai","Movie","Suzume offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2022-11-11","Japanese"
"Sweet Home","Lee Eung-bok","TV Show","This tv show from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-12-18","Korean"
"Syndromes and a Century","Apichatpong Weerasethakul","Movie","Scholars and community educators cite Syndromes and a Century when mapping how Thailand creators experiment with form while staying rooted in lived experience.","2006-08-30","Thai"
"Taste the Nation","Padma Lakshmi","TV Show","This tv show from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-06-19","English"
"Tekken 7","Bandai Namco","Video game","Tekken 7 is a widely taught video game from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2015-03-18","Japanese"
"Terrace House","Kaata Sakamoto","TV Show","Terrace House helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2015-09-02","Japanese"
"The Act of Killing","Joshua Oppenheimer","Documentary","The Act of Killing offers a memorable entry point into Indonesia media histories inviting discussion of language genre conventions and transnational audiences.","2012-08-31","Indonesian"
"The Admiral: Roaring Currents","Kim Han-min","Movie","The Admiral: Roaring Currents offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2014-07-30","Korean"
"The Age of Shadows","Kim Jee-woon","Movie","Classrooms and film clubs often return to The Age of Shadows when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2016-09-03","Korean"
"The Album","BLACKPINK","Music","The Album offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2020-10-02","Korean / English"
"The Apology","Tiffany Hsiung","Documentary","The Apology helps audiences practice close attention to nuance in Canada narratives where humor grief and resilience often share the same scene.","2016-11-26","English"
"The Apu Trilogy","Satyajit Ray","Movie","The Apu Trilogy helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","1959-05-01","Bengali"
"The Art of Charlie Chan Hock Chye","Sonny Liew","Graphic novel","The Art of Charlie Chan Hock Chye is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2015-01-01","English"
"The Astonishing Color of After","Emily X.R. Pan","Book","The Astonishing Color of After is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2018-03-20","English"
"The Attorney","Yang Woo-suk","Movie","The Attorney is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2013-12-18","Korean"
"The Bad Kids","Rui Chen","TV Show","This tv show from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-06-16","Mandarin"
"The Berlin File","Ryu Seung-wan","Movie","The Berlin File offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2013-01-30","Korean"
"The Best We Could Do","Thi Bui","Graphic novel","The Best We Could Do is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2017-03-07","English"
"The Big Sick","Michael Showalter","Movie","The Big Sick is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2017-06-23","English"
"The Brothers Sun","Brad Falchuk and Byron Wu","TV Show","An action dramedy about a Taiwanese American family pulled back into crime and the tension between duty and chosen life.","2024-01-04","English / Mandarin"
"The Brothers Sun","Brad Falchuk","TV Show","The Brothers Sun is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2024-01-04","English"
"The Burning God","R. F. Kuang","Book","The Burning God remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2020-11-17","English"
"The Chaser","Na Hong-jin","Movie","The Chaser is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2008-02-14","Korean"
"The Chinese Exclusion Act","Ric Burns","Documentary","The Chinese Exclusion Act remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2018-05-29","English"
"The Committed","Viet Thanh Nguyen","Book","Classrooms and film clubs often return to The Committed when discussing United States storytelling traditions diaspora voices and the politics of representation.","2021-03-02","English"
"The Complete Persepolis","Marjane Satrapi","Graphic novel","This graphic novel from Iran continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2007-10-30","French / Persian"
"The Dark Forest","Liu Cixin","Book","The Dark Forest helps audiences practice close attention to nuance in China narratives where humor grief and resilience often share the same scene.","2008-05-01","Mandarin"
"The Departure","Lana Wilson","Documentary","The Departure is a widely taught documentary from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2017-03-12","Japanese / English"
"The Donut King","Alice Gu","Documentary","The Donut King helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2020-10-30","English"
"The Dragon Republic","R. F. Kuang","Book","The Dragon Republic is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2019-08-06","English"
"The Elephant Whisperers","Kartiki Gonsalves","Documentary","The Elephant Whisperers remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2022-12-08","Tamil / English"
"The Family Man","Raj Nidimoru","TV Show","Scholars and community educators cite The Family Man when mapping how India creators experiment with form while staying rooted in lived experience.","2019-09-20","Hindi / English"
"The Farewell","Lulu Wang","Movie","Based on Wangs own family a comedy-drama about a grandmother a lie told with love and the different ways cultures hold grief.","2019-07-12","English / Mandarin"
"The Feels","TWICE","Music","The Feels helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2021-10-01","English"
"The Girl Who Leapt Through Time","Mamoru Hosoda","Movie","The Girl Who Leapt Through Time offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2006-07-15","Japanese"
"The Glass Palace","Amitav Ghosh","Book","This book from India continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2000-01-01","English"
"The God of Small Things","Arundhati Roy","Book","The God of Small Things is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1997-04-04","English"
"The Good the Bad the Weird","Kim Jee-woon","Movie","The Good the Bad the Weird is a widely taught movie from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2008-07-24","Korean"
"The Grace of Kings","Ken Liu","Book","The Grace of Kings is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2015-04-07","English"
"The Grandmaster","Wong Kar-wai","Movie","The Grandmaster remains a touchstone in Hong Kong cultural studies for how it stages identity history and community with clarity and emotional precision.","2013-01-08","Mandarin"
"The Half of It","Alice Wu","Movie","Classrooms and film clubs often return to The Half of It when discussing United States storytelling traditions diaspora voices and the politics of representation.","2020-05-01","English"
"The Handmaiden","Park Chan-wook","Movie","Scholars and community educators cite The Handmaiden when mapping how South Korea creators experiment with form while staying rooted in lived experience.","2016-06-01","Korean"
"The Hidden Girl and Other Stories","Ken Liu","Book","Classrooms and film clubs often return to The Hidden Girl and Other Stories when discussing United States storytelling traditions diaspora voices and the politics of representation.","2020-02-25","English"
"The Hole","Hye-young Pyun","Book","The Hole is a widely taught book from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2016-05-16","Korean"
"The Host","Bong Joon-ho","Movie","The Host helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2006-07-27","Korean"
"The Housekeeper and the Professor","Yoko Ogawa","Book","The Housekeeper and the Professor offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2003-08-05","Japanese"
"The Hungry Tide","Amitav Ghosh","Book","The Hungry Tide offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2004-05-03","English"
"The Joy Luck Club","Amy Tan","Book","Interwoven stories of Chinese immigrant mothers and their American-born daughters exploring memory identity and silence across generations.","1989-02-08","English"
"The Killer","John Woo","Movie","Scholars and community educators cite The Killer when mapping how Hong Kong creators experiment with form while staying rooted in lived experience.","1989-07-06","Cantonese"
"The Land Is Inhospitable and So Are We","Mitski","Music","Classrooms and film clubs often return to The Land Is Inhospitable and So Are We when discussing United States storytelling traditions diaspora voices and the politics of representation.","2023-09-15","English"
"The Legend of Korra","Michael Dante DiMartino","TV Show","The Legend of Korra offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2012-04-14","English"
"The Legend of Zelda: Breath of the Wild","Nintendo","Video game","The Legend of Zelda: Breath of the Wild is a widely taught video game from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2017-03-03","Japanese / English"
"The Long Season","Xin Shuang","TV Show","The Long Season offers a memorable entry point into China media histories inviting discussion of language genre conventions and transnational audiences.","2023-04-22","Mandarin"
"The Look of Silence","Joshua Oppenheimer","Documentary","The Look of Silence is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2014-08-28","Indonesian"
"The Lovebirds","Michael Showalter","Movie","The Lovebirds helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2020-05-22","English"
"The Lowland","Jhumpa Lahiri","Book","The Lowland helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2013-09-24","English"
"The Lunchbox","Ritesh Batra","Movie","The Lunchbox is a widely taught movie from India that helps audiences compare how family migration and power show up on screen and in everyday life.","2013-09-20","Hindi"
"The Magic Fish","Trung Le Nguyen","Graphic novel","Scholars and community educators cite The Magic Fish when mapping how United States creators experiment with form while staying rooted in lived experience.","2020-10-13","English"
"The Makioka Sisters","Junichiro Tanizaki","Book","This book from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","1948-01-01","Japanese"
"The Man from Nowhere","Lee Jeong-beom","Movie","The Man from Nowhere is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2010-08-05","Korean"
"The Mash-Up Americans","Various","Podcast","The Mash-Up Americans helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2015-01-01","English"
"The Memory Police","Yoko Ogawa","Book","The Memory Police remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","1994-11-25","Japanese"
"The Ministry of Utmost Happiness","Arundhati Roy","Book","The Ministry of Utmost Happiness remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2017-06-06","English"
"The Naked Director","Masaharu Take","TV Show","The Naked Director helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2019-08-08","Japanese"
"The Namesake","Mira Nair","Movie","Classrooms and film clubs often return to The Namesake when discussing United States storytelling traditions diaspora voices and the politics of representation.","2006-09-02","English / Bengali"
"The Namesake","Jhumpa Lahiri","Book","The Namesake offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2003-09-16","English"
"The Nao of Brown","Glyn Dillon","Graphic novel","This graphic novel from United Kingdom continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2012-09-01","English"
"The Night Manager","Sandeep Modi","TV Show","The Night Manager offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2023-02-17","Hindi / English"
"The Outlaws","Kang Yoon-sung","Movie","The Outlaws is a widely taught movie from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2017-10-03","Korean"
"The Paper Menagerie","Ken Liu","Short fiction","A heartbreaking fantasy about a Chinese mother origami magic and the languages children learn to survive.","2011-03-01","English"
"The Pirates","Lee Suk-hoon","Movie","The Pirates offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2014-08-06","Korean"
"The Poppy War","R. F. Kuang","Book","This book from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2018-05-01","English"
"The Protector","Prachya Pinkaew","Movie","The Protector offers a memorable entry point into Thailand media histories inviting discussion of language genre conventions and transnational audiences.","2005-08-11","Thai"
"The Raid","Gareth Evans","Movie","The Raid remains a touchstone in Indonesia cultural studies for how it stages identity history and community with clarity and emotional precision.","2011-03-23","Indonesian"
"The Raid 2","Gareth Evans","Movie","The Raid 2 offers a memorable entry point into Indonesia media histories inviting discussion of language genre conventions and transnational audiences.","2014-03-28","Indonesian"
"The Railway Men","Shiv Rawail","TV Show","The Railway Men helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2023-11-18","Hindi"
"The Reluctant Fundamentalist","Mira Nair","Movie","Scholars and community educators cite The Reluctant Fundamentalist when mapping how United States creators experiment with form while staying rooted in lived experience.","2012-08-29","English / Urdu"
"The Romantics","Smriti Mundhra","Documentary","Scholars and community educators cite The Romantics when mapping how India creators experiment with form while staying rooted in lived experience.","2023-02-14","Hindi / English"
"The Royal Tailor","Lee Won-suk","Movie","The Royal Tailor offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2014-12-24","Korean"
"The Satanic Verses","Salman Rushdie","Book","The Satanic Verses helps audiences practice close attention to nuance in United Kingdom narratives where humor grief and resilience often share the same scene.","1988-09-26","English"
"The Scent of Green Papaya","Tran Anh Hung","Movie","This movie from Vietnam continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","1993-06-30","Vietnamese"
"The Shadow Hero","Gene Luen Yang","Graphic novel","The Shadow Hero helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2014-07-15","English"
"The Story of Us","JJ Lin","Music","The Story of Us is a widely taught music from Singapore that helps audiences compare how family migration and power show up on screen and in everyday life.","2020-10-20","Mandarin"
"The Summer I Turned Pretty","Jenny Han","TV Show","Classrooms and film clubs often return to The Summer I Turned Pretty when discussing United States storytelling traditions diaspora voices and the politics of representation.","2022-06-17","English"
"The Sympathizer","Viet Thanh Nguyen","Book","A Pulitzer-winning novel about a double agent after the Vietnam War dissecting revolution exile and the performance of loyalty.","2015-04-12","English"
"The Sympathizer","Park Chan-wook","TV Show","The Sympathizer is a widely taught tv show from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","2024-04-14","English / Vietnamese"
"The Tale of Genji","Murasaki Shikibu","Book","Classrooms and film clubs often return to The Tale of Genji when discussing Japan storytelling traditions diaspora voices and the politics of representation.","1008-01-01","Japanese"
"The Tale of the Princess Kaguya","Isao Takahata","Movie","Scholars and community educators cite The Tale of the Princess Kaguya when mapping how Japan creators experiment with form while staying rooted in lived experience.","2013-11-23","Japanese"
"The Terrorizers","Edward Yang","Movie","Scholars and community educators cite The Terrorizers when mapping how Taiwan creators experiment with form while staying rooted in lived experience.","1986-12-19","Mandarin"
"The Three-Body Problem","Liu Cixin","Book","The Three-Body Problem is a widely taught book from China that helps audiences compare how family migration and power show up on screen and in everyday life.","2008-01-01","Mandarin"
"The Throne","Lee Joon-ik","Movie","The Throne helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2015-09-16","Korean"
"The Untamed","Zheng Weiwei","TV Show","This tv show from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2019-06-27","Mandarin"
"The Vegetarian","Han Kang","Book","Classrooms and film clubs often return to The Vegetarian when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2007-10-13","Korean"
"The Villainess","Jung Byung-gil","Movie","The Villainess remains a touchstone in South Korea cultural studies for how it stages identity history and community with clarity and emotional precision.","2017-06-08","Korean"
"The Wailing","Na Hong-jin","Movie","Classrooms and film clubs often return to The Wailing when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2016-05-12","Korean"
"The Wandering Earth","Frant Gwo","Movie","The Wandering Earth is a widely taught movie from China that helps audiences compare how family migration and power show up on screen and in everyday life.","2019-02-05","Mandarin"
"The Warrior","Asif Kapadia","Movie","The Warrior offers a memorable entry point into United Kingdom media histories inviting discussion of language genre conventions and transnational audiences.","2001-09-01","English / Hindi"
"The Waste Tide","Chen Qiufan","Book","This book from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2013-01-01","Mandarin"
"The Way We Are","Ann Hui","Movie","Scholars and community educators cite The Way We Are when mapping how Hong Kong creators experiment with form while staying rooted in lived experience.","2008-03-27","Cantonese"
"The Wedding Banquet","Ang Lee","Movie","The Wedding Banquet remains a touchstone in Taiwan cultural studies for how it stages identity history and community with clarity and emotional precision.","1993-02-04","Mandarin"
"The White Book","Han Kang","Book","The White Book is a widely taught book from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2016-11-01","Korean"
"The White Tiger","Aravind Adiga","Book","Classrooms and film clubs often return to The White Tiger when discussing India storytelling traditions diaspora voices and the politics of representation.","2008-04-22","English"
"The Wind Rises","Hayao Miyazaki","Movie","The Wind Rises helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2013-07-20","Japanese"
"The Wind-Up Bird Chronicle","Haruki Murakami","Book","The Wind-Up Bird Chronicle is a widely taught book from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","1994-06-01","Japanese"
"The Woman Who Left","Lav Diaz","Movie","Scholars and community educators cite The Woman Who Left when mapping how Philippines creators experiment with form while staying rooted in lived experience.","2016-09-09","Filipino"
"The Yellow Sea","Na Hong-jin","Movie","Scholars and community educators cite The Yellow Sea when mapping how South Korea creators experiment with form while staying rooted in lived experience.","2010-12-22","Korean"
"Theeb","Naji Abu Nowar","Movie","Scholars and community educators cite Theeb when mapping how Jordan creators experiment with form while staying rooted in lived experience.","2014-08-28","Arabic"
"They Call Us Bruce","Phil Yu","Podcast","They Call Us Bruce offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2017-01-01","English"
"They Called Us Enemy","George Takei","Graphic novel","They Called Us Enemy is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2019-07-16","English"
"Three-Body","Yang Lei","TV Show","Scholars and community educators cite Three-Body when mapping how China creators experiment with form while staying rooted in lived experience.","2023-01-15","Mandarin"
"Tides of History","Various","Podcast","Scholars and community educators cite Tides of History when mapping how United States creators experiment with form while staying rooted in lived experience.","2018-01-01","English"
"Tiger Stripes","Amanda Nell Eu","Movie","Tiger Stripes is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2023-05-17","Malay"
"Tigertail","Alan Yang","Movie","A quiet drama about a Taiwanese immigrant reflecting on the sacrifices that built his American life and the intimacy he could not express.","2020-04-10","English / Mandarin"
"Time Is a Mother","Ocean Vuong","Book","Classrooms and film clubs often return to Time Is a Mother when discussing United States storytelling traditions diaspora voices and the politics of representation.","2022-04-05","English"
"To All the Boys Ive Loved Before","Susan Johnson","Movie","To All the Boys Ive Loved Before is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2018-08-17","English"
"To Live","Zhang Yimou","Movie","To Live helps audiences practice close attention to nuance in China narratives where humor grief and resilience often share the same scene.","1994-05-18","Mandarin"
"To Your Eternity","Yoshitoki Oima","Manga","To Your Eternity is a widely taught manga from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2016-11-09","Japanese"
"Tokyo Godfathers","Satoshi Kon","Movie","Tokyo Godfathers offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2003-11-08","Japanese"
"Tokyo Story","Yasujiro Ozu","Movie","Tokyo Story offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","1953-11-03","Japanese"
"Train to Busan","Yeon Sang-ho","Movie","Train to Busan is a widely taught movie from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2016-07-20","Korean"
"Tropical Malady","Apichatpong Weerasethakul","Movie","Scholars and community educators cite Tropical Malady when mapping how Thailand creators experiment with form while staying rooted in lived experience.","2004-05-17","Thai"
"Tumbbad","Rahi Anil Barve","Movie","Tumbbad helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2018-10-12","Hindi"
"Turning Red","Domee Shi","Movie","A Pixar coming-of-age story set in Toronto that uses magical realism to talk about adolescence family expectations and cultural pride.","2022-03-11","English"
"Twenty Five Twenty One","Jung Ji-hyun","TV Show","Twenty Five Twenty One offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2022-02-12","Korean"
"Ugly Beauty","Jolin Tsai","Music","Ugly Beauty is a widely taught music from Taiwan that helps audiences compare how family migration and power show up on screen and in everyday life.","2018-12-26","Mandarin"
"Ugly Delicious","David Chang","TV Show","Ugly Delicious is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2018-02-23","English"
"Ulam: Main Dish","Alexandra Cuerdo","Documentary","Ulam: Main Dish offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2018-05-01","English"
"Unaccustomed Earth","Jhumpa Lahiri","Book","Scholars and community educators cite Unaccustomed Earth when mapping how United States creators experiment with form while staying rooted in lived experience.","2008-04-01","English"
"Uncle Boonmee Who Can Recall His Past Lives","Apichatpong Weerasethakul","Movie","Uncle Boonmee Who Can Recall His Past Lives is a widely taught movie from Thailand that helps audiences compare how family migration and power show up on screen and in everyday life.","2010-05-21","Thai"
"Universe","NCT","Music","Universe is a widely taught music from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2021-12-14","Korean"
"Vertical Ray of the Sun","Tran Anh Hung","Movie","This movie from Vietnam continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2000-05-27","Vietnamese"
"Veteran","Ryoo Seung-wan","Movie","Veteran helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2015-08-05","Korean"
"Vincenzo","Kim Hee-won","TV Show","Vincenzo offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2021-02-20","Korean"
